comment_text,type
"Nhà hàng này có không gian rất thoải mái, tôi thích đến đây mỗi lần cần thư giãn.",0
"Đồ ăn ở đây khá ngon, nhưng không gian có phần hơi chật chội.",0
"Thực đơn đa dạng, phục vụ nhanh chóng và nhân viên rất thân thiện.",0
"Món ăn ở đây có giá hợp lý, tôi sẽ quay lại vào lần sau.",0
"Nhà hàng sạch sẽ, nhưng không khí hơi nóng, cần cải thiện điều hòa một chút.",0
"Dịch vụ nhanh chóng và hiệu quả, nhưng món tráng miệng chưa thực sự ấn tượng.",0
"Nhà hàng này có món sushi rất ngon, nhưng tôi nghĩ phần thịt có thể tươi hơn một chút.",0
"Nhân viên lịch sự và chu đáo, nhưng có thể cải thiện tốc độ phục vụ trong giờ cao điểm.",0
"Món ăn đa dạng nhưng một số món hơi nhạt, có thể điều chỉnh gia vị.",0
"Nhà hàng có không gian đẹp, nhưng cách bài trí chưa thật sự thoải mái cho gia đình.",0
"Nhân viên phục vụ nhiệt tình, nhưng tôi mong họ có thể hỗ trợ nhiều hơn về thực đơn.",0
"Món ăn ở đây rất ngon nhưng giá cả hơi cao so với chất lượng.",0
"Đồ ăn ngon, nhưng không gian có phần đông đúc vào giờ cao điểm.",0
"Tôi rất hài lòng về dịch vụ ở đây, sẽ giới thiệu cho bạn bè.",0
"Nhà hàng khá dễ tìm, nhưng chỗ đỗ xe hơi chật, cần cải thiện.",0
"Không gian sạch sẽ, nhưng âm thanh có thể được giảm bớt một chút để tạo không khí yên tĩnh.",0
"Nhà hàng này có phong cách trang trí rất đẹp, thích hợp cho các buổi hẹn hò.",0
"Phục vụ ở đây rất nhanh chóng, nhưng món ăn chưa đủ đặc sắc.",0
"Tôi thích bầu không khí ở đây, rất thoải mái và dễ chịu.",0
"Nhà hàng này rất thích hợp cho những buổi gặp gỡ bạn bè, đồ ăn cũng ngon.",0
"Chất lượng món ăn khá ổn nhưng tôi nghĩ cần cải thiện phần thức ăn chay.",0
"Món bún ở đây rất ngon, tôi rất thích vị nước dùng đậm đà.",0
"Nhà hàng có phong cách ấm cúng, thích hợp cho những buổi ăn gia đình.",0
"Thực đơn phong phú, nhân viên phục vụ cũng rất chuyên nghiệp.",0
"Chỗ ngồi khá thoải mái, nhưng tôi nghĩ sẽ tốt hơn nếu có thêm lựa chọn ngoài trời.",0
"Tôi yêu thích món mì xào ở đây, nhưng món salad thì hơi nhạt.",0
"Nhân viên phục vụ khá niềm nở, nhưng tôi cần thêm chút sự kiên nhẫn.",0
